Are you an insider at Google Facebook Twitter or any other tech company who wants to confidentially reveal wrongdoing or political bias at your company?	Population control is another solution embraced by geniuses on the left.	Reach out to Allum Bokhari at his secure email addressallumbokhari Allum Bokhari is the senior technology correspondent at Breitbart News.	This followed an article published byNewsweek in which two psychologists mused on the human taboo against cannibalism noting thatphilosophers have argued that burying the dead could be wasteful in the context of the fight against world hunger.	Are you ready to be a parasite for the environment?	False
As that is not likely to happen she said there is no way to know the full scope of the risks.	Petermann said there is a lack of independent research on the long term or even short term consequences of putting genetically engineered trees out into the environment and that the risks could be significant.	She said it was clear that the planet once had rivers and great amounts of water and possibly an atmosphere similar to ours but a global catastrophe had happened.	Petermann said another red flag is wildfires.	Anne Petermann executive director at the Global Justice Ecology Project said the tradition has been for the government to rubberstamp genetically engineered organisms but this would be the first time they are approving a genetically engineered forest tree.	False
Voxs David Roberts and I have come up with some questions that could serve as starting points.	Washington Gov.	A forum format with one on one discussions with the candidates could better get at these distinctions forcing candidates to make the affirmative case for their own policies rather than sniping at those from other candidates.	Here is the format The audience will be composed of selected Democrats independents and stakeholders.	CNNs climate change forum has immense potential to illuminate real differences among the candidates and inform the public about the often weedy details of climate policy.	False
A fifth generation coal miner from Virginia has spoken out against President Donald Trump's rhetoric surrounding the coal mining industry saying the President is making false promises that are only going to line the pockets of coal executives.	They're a matter of life or death.	In a New York Times op ed video published Tuesday Nick Mullins a ninth generation Appalachian from Virginia said that if Trump wants to help the Appalachian mining communities that support him lowering emission standards is not the way to do it.	We have to realize that the environmental impacts of the industry aren't a partisan issue he said.	On Tuesday the newly proposed Affordable Clean Energy Rule was announced which would allow states to set their own emission standards for coal fueled power plants.	True
That directive is likely to prompt watchdog groups to sue.	This is yet another example of this administration selling out our future to industry polluters its nothing more than a naked attempt to attack science gut our clean air protections and put polluter profits ahead of our health Sara Jordan a legislative representative at the nonpartisan League of Conservation Voters said in a statement.	It marks the latest assault on clean air rules putting poor people and communities of color particularly at risk.	People of color breathe in 1.2 times more particulate matter pollution and black people in particular are on average exposed to 1.54 times more particulate matter pollution than the general pollution.	The purpose is that if states make determinations that are somewhat less than the rigor of what might be expected EPA wont second guess it Stan Meiburg a former acting deputy EPA administrator who spent 39 years at the agency told HuffPost by phone.	True
In a world in which the ecological crisis is an external manifestation of the ethical cultural and spiritual crisis of modernity it is necessary to recall the values of custody of creation the preferential option for the poor and the peace that is built in everyday life including with attention to the care of the common home she said.	The politically incorrect gift highlighted thecost effectivenessand ready availability of fossil fuels which were responsible for powering the industrial revolution throughout the developed world.	I hope we will see more leaders like these 40 Catholic institutions commit because while this decision makes smart financial sense acting collectively to deliver a better future for everybody is also our moral imperative she said.	Christiana Figueres the former UN climate tsar who helped negotiate the Paris climate accord lauded the move as a further sign we are on the way to achieving our collective mission.	The moral clarity of these 40 institutions is a source of deep joy said Toms Insua the director of the Movement.	False
'The eyes of future generations are on you and if you choose to fail us I say we will never forgive you.	We will not let you get away with this.'	Its donors include heiress Aileen Getty American philanthropist Trevor Neilson and filmmaker Rory Kennedy a member of the political Kennedy clan.	'Yet you have come to us young people for hope.	I shouldn't be up here.I should be back in school on the other side of the ocean.	True
Published with permission of The American Independent.	The new rule is really a dereliction of duty moral ethical but also legal Andres Restrepo a lawyer with the Sierra Club's Environmental Law Program told the Post.	That's the exact opposite of what Trump regularly claims.	Scientists are unclear as to the exact reasons air pollution has gotten worse under Trump but they say its very clear that his policies will make the situation worse.	Air pollution leads to the premature death of 100000 Americans every year the AP reports and Trumps own EPA shows not only worse air pollution but a significant increase in the two worst categories very unhealthy and hazardous conditions.	True
Tony Cox an industry consultant Trump tapped to lead the EPAs Clean Air Scientific Advisory Committee argues that the EPAs agencys current standards for evaluating this question does not feature enough causal rigor.	Each of these impacts independently suggests that we are currently allowing too much air pollution and they also cry out for more research that attempts to assess the long term cumulative impact of pollutants that appear to induce cognitive problems throughout the life cycle.	Its true of course that you dont want to do a completely naive associational study and then leap to big policy conclusions from it.	Chan School of Public Health writes with researcher Gretchen Goldman in a new Science essay on the subject this loads the dice against demonstrating harms because randomized control trials are not possible or ethical when studying environmental hazards.	The other is that particulate emissions play a key role in the bureaucratic politics of climate change.	True
Andrew Fountain a geologist at Portland State added While the shrinkage in Montana is more severe than some other places in the US it is in line with trends that have been happening on a global scale.	Rising temperatures Montana is warming nearly twice as quickly as the global average and changes in precipitation patterns are eroding away glaciers in the state and elsewhere along the Rocky mountains.	Its inevitable that we will lose them all over the next few decades Farge said.	The disappearance of glaciers in Montana is part of a broader loss that will see all glaciers defined as moving bodies of snow and ice larger than 25 acres largely vanish from the lower 48 states of America by the mid point of the century according to Dr Daniel Farge lead USGS scientist.	Some have lost as much as 85 of their expanse over the past 50 years with Glacier national park site of 37 of the surveyed glaciers set to lose all of its eponymous ice formations within the next few decades.	True
Jay Inslee and many Democrats and environmentalists who want to fight man made global warming.	Voters from Washington to Florida will be able to partake in important energy policy decisions for their states.	Bill Ritter.	The political battle heated up that month when gas tax opponents threatened to recall Attorney General Xavier Becerra a Democrat for allegedly trying to mislead voters about the proposal.	Steyer pumped more than 20 million into the campaign but opponents accused Steyers group of using forged and fake signaturesto get the green energy mandate on Arizonas ballot.	False
Check out this chart The fines come from consent decrees a type of legal settlement where a party has to take a specific action but does not have to admit fault or liability.	Less enforcement doesnt mean there arent a whole lot of violations that are out there said Eric Schaeffer executive director of the Environmental Integrity Project who led the civil enforcement office at the EPA under Presidents Clinton and Bush in a call with reporters.	But one of EPAs most important jobs is to enforce civil penalties for companies that breach limits for hazardous chemicals like sulfur dioxide and hydrochloric acid.	Enforcement matters especially to the people who live and work next to plants that continue to release more pollution than the law allows.	And one new measure of Pruitts foot dragging thats just emerged is how much money EPA has been collecting from polluters lately.	True
This story was originally published byHuffPostand appears here as part of theClimate Deskcollaboration.	Yet fears over rising gas prices proved more convincing to Evergreen State voters.	Scientists say such policies are necessary to make the kinds of emissions cuts required to avert the worst impacts of climate change.	The loss came as Coloradans voted down Proposition 112 a measure that would have put about 85 percent of non federal land in the Centennial State off limits to oil and gas drilling.	But Initiative 1631 took a different approach imposing the carbon price in the form of a fee.	True
Gov.	Donald Trump has singlehandedly been working to set back U.S. climate policy 50 years.	Pete Wilson.	The law requires businesses to buy credits based on their volume of greenhouse pollution.	More recently Brown helped found the United States Climate Alliance a group of state and local governments pledging to abide by the Paris climate agreement even after the federal government withdraws.	True
at world leaders at the U.N. General Assembly earlier this year accusing them of failing the younger generation.	The businessman denounced the choice as a 'marketing gimmick' and said the prize should have honored 'Hong Kong Protesters fighting for their lives and freedoms' his father was also a finalist.	Greta said 'The biggest danger is not inaction the real danger is when politicians and CEOs are making it look like real action is happening when in fact almost nothing is being done apart from clever accounting and creative PR.'	In a speech the teenager also criticized governments for avoiding taking action to cut greenhouse gas emissions and 'not behaving as if we are in an emergency'.	The 16 year old Swedish face of climate activism made headlines after shouting 'How dare you?'	True
People are unhappy and that means they may make irrational decisions.	The research was published in the journal Nature Human Behaviour.	But air pollution also has a broader impact on people's social lives and behavior according Siqi Zheng the Samuel Tak Lee Associate Professor in MIT's Department of Urban Studies Pollution also has an emotional cost said Dr Zheng.	It suggests that people were four points unhappier than they would have been without polluted levels.	Researchers at MIT and the University of Beijing discovered a direct link between the amount of particulates in the air and happiness.	False
Many lines of evidence demonstrate that human activities especially emissions of greenhouse heat trapping gases are primarily responsible for recent observed climate changes.	And in June Energy Secretary Rick Perry echoed Pruitts comments saying no when asked byCNBC whether he believes carbon dioxide is the primary control knob for the temperature of the Earth and for climate.	In MarchEnvironmental Protection AgencyheadScott Pruitttold CNBC No I would not agreethat carbon dioxide is a primary contributor to the global warming that we see.	Most likely the primary control knob is the ocean waters and this environment that we live in Perry said.I mean the fact is this shouldnt be a debate about Is the climate changing?	In a post to Twitter Gavin Schmidt a climate scientist and director of the NASA Goddard Institute for Space Studies said that nothing in the report is surprising for people working in the field but that it may be shocking to those that think climate change is just a future problem.	False
And Interior Department climate scientist Joel Clement allegedthat he and dozens of other scientists had been arbitrarily reassigned.	The study had been launched at the request of two West Virginia agencies the state's Department of Environmental Protection and Bureau for Public Health.	'Stopping this study is a ploy to stop science in its tracks and keep the public in the dark about health risks as a favor to the mining industry pure and simple' said Democratic Representative Ral Grijalva of Arizona ranking member of the House Committee on Natural Resources in a statement.	An emphasis was placed on studying the 'effects from surface coal mining operations on air surface water groundwater and drinking water quality and on ecologic communities and soil that could potentially lead to human health concerns.'	Critics have railed against the Interior Department for moves seen as halting scientific growth.	True
Here's why it matters We now have to monitor this glacier carefully.	he said.	In other words he said If the Ross Ice Shelf destabilizes it should not lead to a collapse of East Antarctica.	He said one of the challenges they faced during the project was gathering all the available data since there have been many radar surveys but done by different institutions in different countries.	The study says that major glaciers flowing through the Transantarctic Mountains and across Victoria Land are found to be protected by broad stabilizing topographic ridges near their grounding lines that reflect the surrounding topographic relief.	False
We simply cannot protect our children and grandchildren from climate catastrophe if EPA lets this industry off scot free said David Doniger a climate and clean energy specialist at the Natural Resources Defense Council.	Susan Dio chairman and president of BP America supported federal regulation of methane in an opinion piece in the Houston Chronicle earlier this year calling it the the best way to help further reduce and ultimately eliminate methane emissions industrywide.	Some large energy companies including BP favor federal regulation of methane saying the regulatory certainty is preferable to a patchwork of varying rules by states and legal challenges by environmentalists.	The oil and gas business is the largest single source of methane emissions a major factor in global warming.	If EPA moves forward with this reckless and sinister proposal we will see them in court.	True
When companies make these pledges to be sustainably sourced or use recycled content that's the problem that they're solving.	We believe in the dignity of life and part of that is having a place to live he said.	It's that natural infrastructure that we're trying to avoid being lost.	Instead PG promises to source its paper from forests that are well managed which in the company's view is a more responsible course of action than using recycled products.	Making paper sustainably doesn't necessarily mean using 100 recycled content said Stephen Donofrio director of the Ecosystem Marketplace initiative at the nonprofit Forest Trends.	False
As the New York Times points out however there is one crucial way that Wheeler differs from his departing boss.	A number of Pruitt policies are thought to be shoddily constructed and have faced significant legal challenges.	Here are three key facts to know about the person who will soon be overseeing the Environmental Protection Agency.	It appears that Wheeler is on track to do more of the same and his insider instincts and methodical nature could mean even more effective rollbacks.	During Wheelers testimony in a congressional hearing last fall he dodged a question about climate change I believe that man has an impact on the climate but its not completely understood what that impact is he said according to Inside Climate News.	False
At the time Pruitt was the Attorney General of Oklahoma and he and others sued the EPA to overturn the legislation.	Former President Barack Obama had put in place a rule in 2016 that was connected to a regulatory strategy which sought to reduce methane emissions.	Two judges concluded the administration record thus makes clear that industry groups had ample opportunity to comment on all four issues on which EPA granted reconsideration and indeed that in several instances the agency incorporated those comments directly into the final rule.	The courts ruling is yet another reminder now in the context of environmental protection that the federal judiciary remains a significant obstacle to the presidents desire to order immediate change Richard Lazarus environmental law professor at Harvard Law School said in an email as reported by the Post.	This includes a two year delay on a certain regulations aimed at minimizing chemical accidents.	True
Francisco noted that the plaintiffs are seeking to hold the U.S. government liable for the cumulative effects of carbon dioxide emissions from every source in the world over decades.	This is a case about the fundamental rights of children and whether the actions of their government have deprived them of their inalienable rights Olson said in court papers.	Lawyers for the young activists led by Julia Olson of a Eugene based group called Our Childrens Trust that brought the lawsuit have said their clients have suffered irreparable harm from the effects of a changing climate.	In the lawsuit 21 activists ages 11 to 22 said federal officials violated their rights to due process under the U.S. Constitution by failing to adequately address carbon pollution such as emissions from the burning of fossil fuels.	The loss for the administration means it now faces a high profile examination of U.S. climate change policy during the trial that was due to begin on Oct. 29 in Eugene Oregon but has since been postponed by the judge.	True
We are taking significant action to return power to the states and provide regulatory certainty to our nations farmers and businesses said Scott Pruitt administrator of the EPA.	Once again the Trump administration has agreed to do the bidding of the worst polluters in our country and once again its putting the health of American families and communities at risk said Michael Brune executive director of Sierra Club.	This sets in motion a welcome correction to a deeply problematic regulation that ignored the careful balance that Congress struck between federal and state water regulation and constitutional limits on federal authority said Hal Quinn NMA president and chief executive.	Signing his order the president said thousands of jobs were at risk because the EPA decided that navigable waters can mean nearly every puddle or every ditch on a farmers land or anyplace else that they decide.	Trump has called the rule one of the worst examples of federal regulation and a massive power grab.	True
Hovenweep is in all of our stories and to threaten the integrity of these structures jeopardizes everything weve carried forward as resilient people.	When this oil and gas leasing happens on or near sacred lands it risks de stabilizing the bedrock of the structures said Ahjani Yepa a member of Utah Din Bikyah a Navajo grass roots organization.	The Bureau of Land Management would benefit from more community outreach and long term planning to lease parcels on sensitive landscapes said Erika Pollard an associate director with the National Parks Conservation Association.	Still environmentalists and Native Americans invested in the land said such documents fail to address a larger trend of leasing increasingly more land on or near sensitive tribal landscapes.	You wouldnt like it if I went into your home your land and started digging.	False
As a Christian I have a responsibility to try my best to be as wealthy as possible James Wanliss an associate professor of physics at Presbyterian College in South Carolina and the author ofThe Green Dragon Is Global Warming a Religion?	The position paper called for protecting Gods creation and embracing the governments help in doing so.	On one side of that debate is a theological argument thats gained prominence in some corners of evangelical Christianity over the past decade.	Roy Moore hes part of that culture Michael Hansen executive director of the Birmingham based environmental group Gasp and a former candidate in the Democratic primary for Senate told HuffPost.	As a Christian thats a problem to me because well aside from the philosophy behind those systems its just again empirically been disastrous.	True
For property owners who let the government handle the clean up taxpayers will cover any of the costs of debris removal that insurance doesn't Lamoureux said.	Laney Wall who lost her home in the Sonoma County community of Fountaingrove asked why homeowners had to go through the expense trouble and wait of the clean up at all.	Homeowners shouted questions on matters ranging from their liability in the clean up to the extent that contractors would be scraping bare building sites.	State agencies would handle the same task in five other burned counties.	Many survivors at Monday's forum and in fire zones where people are returning say they are confused about what authorities will allow them to do at their blackened properties before the massive waste removal.	False
And while theres an element of truth to that it misses the big picture.	More nuanced pundits and politicians acknowledge that the science is real but argue that even if it is accurate the consequences might not be so bad or that action would simply be too costly.	Take Trumps nominee to head the Environmental Protection Agency Scott Pruitt.	As Brad Plumer wrote last year during Pruitts tenure as Oklahoma attorney general he joined or led state lawsuits to block virtually every major federal regulation around climate and air pollution that Obamas EPA has put forward and professed to believe that the science around climate change was unsettled.	This is the consensus that the vast majority of the Republican Party from donors to politicians to intellectuals to voters has arrived at.	False
The mechanism Robert Francis is referring to is a democracy.	How does a man who under normal circumstances would be working as a barista in the local coffee shop dole out knowledge of experience on World War II to a Democrat party who eagerly laps it up?	But he doesnt care because in his mind its real.	How else to explain last months comments that environmental activists are just like those who were on the beaches in Normandy.	When you think about leadership those who preceded us those who were on the beaches in Normandy those who faced an existential threat to Western democracy and our way of life they showed us the way he said referencing a plan to fight climate change.	False
Still to be determined whether it was persuasive or consequential.	On the other side President Trump.	But Gentolini and other world leaders weren't just waiting for internal reflection.	He came here to learn.	Climate change and its impacts have been observed by scientists working in multiple fields and the overwhelming scientific consensus is that human activity is the primary cause.	True
Its intended to provide intelligence to those sort of decision makers that youre talking about.	Deke Arndt chief of the climate monitoring branch at NOAAs National Centers for Environmental Information described the report as diagnostic when asked if anyone from the White House had weighed in on itor questioned its findings.	Photo GettyEyeEm The evidence behind global climate change continues to mount and scientists keep speaking out.	Now they hope the world will listen.	Were scientists and were providing objective information Jessica Blunden a climate scientist at NOAAs National Climatic Data Center in Asheville N.C. told Yahoo News.	True
Mustafa Ali the former head of the EPA environmental justice office noted that the idea of scoring environmental justice impacts is something advocates have pushed for years.	Harris is not the only presidential candidate who has come out with a plan focused on environmental justice.Jay Inslee released the fifth plank of his climate change package on Monday that refocuses the White House Council of Environmental Quality as a new clearinghouse for environmental justice and has its own scoring mechanism for impacts.	People are starting to pay at lot of attention to climate change and have to address the environmental injustices.	It does begin to answer one of the key questions around the Green New Deal debate which is how to include low income and communities of colorthe frontline voices facing the most dire effects of climate changein the legislative process.	We cannot accept a status quo where children of color are drinking toxic water in Flint or breathing toxic air in Louisianas Cancer AlleyHarris said in a statement.	True
Scott Pruitt the head of the Environmental Protection Agency has said he would not agree that carbon from human activity is the primary cause of global warming while in 2014 Trump referred to it as a hoax.	Does he believe human activity contributes to climate change?	There was a chorus of condemnation from world leaders former president Barack Obama and Trumps defeated election opponent Hillary Clinton who branded it a historic mistake.	Now whats the negotiating process?	implying that Trumps views on the causes of climate change were irrelevant to the Paris decision.	True
Courtneys admission is not rewarding Senate Republicans for bad behavior.	Kate Brown nonetheless last week sent state police to find the lawmakers and instituted a 500 per day fine per person for each day they werent present at a legislative session.	Democratic Gov.	Theres been incredible work going into that bill Courtney said.	On Tuesday some of the Republicans in hiding were not sure what to make of Courtneys statement about the votes.	True
This is the war we are facing.	Yet amid rising international pressure the 63 year old former army captain reportedly signed an executive order deploying the military to help reduce the wildfires which he previously blamed on NGOs who were seeking to undermine his administration.	It is an international crisis.	Our house is burning.	On the question of burning in the Amazon which in my opinion may have been initiated by NGOs because they lost money what is the intention?	True
The language also points to broader reform efforts that occurred after the Gulf spill including thedivision of the Minerals Management Service the scandal plagued agency faced with the conflicting tasks of issuing leases and policing offshore drilling operations into three new agencies.	Like the rollback of the Production Safety Systems Rule this effort is all about helping industry.	Donald Boesch a professor of marine science at the University of Maryland who served on the bipartisan commission that investigated the causes of the Deepwater Horizon blowout said easing the safety rules is both premature and ill considered.	The Interior Department led by Secretary Ryan Zinke noted in the lengthy proposal that while offshore oil and gas production will never be totally risk free the agency has made and is continuing to make substantial reforms to improve the safety and reduce the possible adverse environmental impacts of those activities.	He also expressed concern about merging the two agencies but said the administration has in effect already done that by putting the safety bureau in the hands of Angelle a big proponent of offshore fossil fuel development.	True
It's no use pointing the finger at what's wrong without bringing alternatives to people he said.	Mr Bolsonaro said the French leader should apologise for insulting him personally by calling him a liar.	Firstly he called me a liar.	He wrote Do not humiliate the guy ha ha.	Greenpeace France described the G7's response to the crisis as inadequate given the urgency and magnitude of this environmental disaster.	False
And while the fires have been burning for weeks the international outcry grew this week as photographs spread on social media.	A military leader for example said that part of its mission involved creating a positive perception of the country.	Protecting the rain forest is our duty he said.	That was quite a change in tune for a president who had previously described environmental protections as an impediment for economic growth and had blamed non governmental organizations of starting the fires.	As attention focused on the fires burning in the Amazon it became clear that Europeans have taken the role as the global leaders in the fight against climate change notes the New York Times.	True
And current emissions mitigation policies especially related to the advocacy for renewables are often costly ineffective and perhaps even harmful to the environment.	In other words nobody is denying that climate changes nobody is denying that the planet has warmed by 0.8 degrees C in the last 150 yearswhile only a handfuldeny that carbon dioxide and other greenhouse gases has the power to influence temperatures.	Detecting a clear anthropogenic forcing signal amidst the noise of unforced natural variability may therefore be difficult.	Greenhouse Effect Not the Main Driver of Climate Together with these 400 new papers that makes 900 science papers in the last two years casting doubt on global warming.	What they are saying in their different ways is that global warming as in the big scare story that the planet is heating up at a catastrophic unprecedented rate because of man made CO2 emissions is bunk or that the methods being used to combat the problem are bunk.	False
The lawsuit announced by Rhode Island Attorney General Peter Kilmartin was the first by a state seeking to hold oil companies responsible for costs associated with climate change and followed similar cases by several local governments nationally.	The complaint seeks unspecified compensatory and punitive damages as well as orders requiring the companies to pay abatement costs and to disgorge profits.	Kilmartin is seeking to force the companies to pay for damages associated with climate change citing the costs taxpayers were incurring to repair roads and bridges and rebuild coastal structures.	The lawsuit alleged that various oil companies had created a public nuisance in the state and failed to adequately warn customers consumers and regulators about the risks posed by their products.	The lawsuit filed in Providence County Superior Court named as defendants Exxon BP Royal Dutch Shell Plc and Chevron Corp among other companies.	True
On a broader note Im confused.	Alexandria Ocasio Cortez has found something else to blame on the supposed climate crisis.	If a pipe bursts in your house thats not the fault of climate change.	Then there was the explosion at an oil refinery which despite not being a weather event at all nor being caused by one was somehow the fault of climate change.	In reality New York Citys subway system is a dumpster fire of mismanagement.	True
The E.P.A.	In this case the proposed methodology would assume there is little or no health benefit to making the air any cleaner than what the law requires.	WASHINGTON The Environmental Protection Agency plans to change the way it calculates the health risks of air pollution a shift that would make it easier to roll back a key climate change rule because it would result in far fewer predicted deaths from pollution according to five people with knowledge of the agencys plans.	The proposed shift is the latest example of the Trump administration downgrading the estimates of environmental harm from pollution in regulations.	had originally forecast that eliminating the Obama era rule the Clean Power Plan and replacing it with a new measure would have resulted in an additional 1400 premature deaths per year.	False
Thats the environmentalinjustice and racism that were dealing with and my plan would equip Americans with the tools tofight back and also make investments so that we can bring justice to what isright now a tremendous injustice he said.	We know that this climate crisis is going to affect all Americans and all folks around the world but we also know that its going to hit some people particularly hard people that are the first people to get affected he said.	He said his climate plan calls for new civil rights legislation to address environmental injustice including making sure people could file lawsuits against polluters.	Theyre the ones who can least afford to deal with the climate crisis he said during the CNN town hall.	We need to invest in these communities and their ability to withstand storms and other natural disasters and their ability to have something as simple as clean water or breathe clean air he said.	True
Pat McCrory R signed a bill that dramatically watered down legislation forcing Duke to clean up its coal ash pits without requiring the company to excavate the waste or provide clean water to residents near the pond.	Children are particularly at risk of learning disabilities birth defects asthma and cancer with 1.54 million living near such storage sites according to EPA data cited by the Sierra Club.	In 2014 Duke Energy one of the countrys biggest power companies spilled nearly 39000 tons of coal ash into the Dan River causing one of North Carolinas biggest environmental disasters in its history.	Yet two years later the company is still battling environmentalists and regulators in the state as the utility seeks to pass the cleanup costs onto ratepayers in the form of a price hike.	Thomas Adams executive director of the American Coal Ash Association said he hopes the next part of the EPAs announcement will include changing a rule that mandates companies to go through a risk evaluation when stockpiling more than 12400 tons of coal ash for anything other than road projects.	True
His concerns about potential waves of lawsuits are not unfounded.	Some analyst groups worry activist shareholders use a largely unregulated industry to hoodwink U.S. companies into accepting proposals designed to tackle climate change that carry little long term benefits.RELATEDA Federal Judge Torches Two Lawsuits Trying To Blame Oil Companies For Climate Change So called proxy advisory firms craft disclosure requirements that force companies to show they are taking efforts to curb greenhouse gas emissions.	Environmentalists have convinced several American cities to sue Exxon Chevron and other energy companies to force them to pay for supposedly making disasters worse.	The lack of transparency and competition in the proxy advisory firm industry gives a small number of businesses significant influence over how corporations deal with environmental issues.	Judges have already dismissed several lawsuits but the fear of future litigation is not lost on Shell and others.	False
No harm no foul.	The rollbacks an international signal that were not taking carbon capture and sequestration and reducing impacts from coal seriously said Jay Duffy an associate attorney at the Clean Air Task Force.	Groups can sue once the proposal is finalized as a rule.	Even as nations are gathering in Poland this week to discuss how to implement the Paris climate agreement the US delegation plans to host a panel touting the virtues of fossil fuels the biggest sources of greenhouse gas emissions that drive climate change.	This would have likely required new coal plants to install carbon capture technologies to limit some of their emissions.	False
And I think for younger people looking at this are more like how are we saying lets take it easy when 3000 Americans died last year how are we saying lets take it easy when the end person died from our cruel and unjust criminal justice system?	Yet IPCC report authorsframedthis as a problem of political will not economics and technology.	The New Deal.	Indeed Ocasio Cortez saidglobal warming is her generations World War II.	For licensing opportunities of our original content please contact licensing	True
Unfortunately there is a loophole to that status he adds.	If these landowners decide they want to clear their land they can.	Mr Castillo says money is key The first step to protecting the palms will be to allocate the proper amount to the environmental sector.	But according to Mr Bernal the palms in the Cocora Valley are at risk.	Mr Bernal and his fellow scientists have for years been urging the government to buy up the land a move they estimate would cost 10m 7.7m but so far no action has been taken.	False
This story was originally published byGristand appears here as part of theClimate Deskcollaboration.	A lot of the answers are coming from the communities he said.	We do better when we have a project he said of his proposal at the Seattle event.	As well as the fact that we as a country need a project and climate change is as good a one as well ever have.	The presidential candidate was running more than 45 minutes late and was just beginning to lose his audienceIm starting not to love Pete so much someone remarkedwhen he took the stage.	True
2 job Wheeler said he believed that man has an impact on the climate but whats not completely understood is what the impact is.	Sen. Dan Sullivan R Alaska even prompted Wheeler with a question about his nearly two decades working for Bob Murray the influential and bombastic baron who runs the nations largest privately owned coal company.	Wheelers climate denial received some backup at Wednesdays hearing.	He even mixed up two of the most important climate science reports to come out in the last three months admitting he hadnt fully read the report co authored by researchers at his own agency.	Wheeler blamed the shutdown for the delay in releasing a plan to deal with toxic perfluorinated substances in drinking water.	True
The Chronicle rubbished the threat quoting a media law expert who stated that the companys email screw up was its own fault and not the newspapers.	According to a 16 count indictment Crystal Geyser discharged the toxic waste into a pond that staff dubbed the arsenic pond and then worked with two waste disposal firms to illegally transport the arsenic to a plant without a license to treat it.	With pro corporate protesters likely to raise some eyebrows he outlined a more radical approach sue locals in the area for past damages to the local water system to bring them to the table.	Option one involved hiring a PR firm to manufacture fake grassroots support for the facility and change the conversation.	A lawyer representing Crystal Geyser called the newspaper and threatened legal action for running the story.	True
Said Tyler Ray director of policy and advocacy for theAmerican Hiking Society Permitting e bike use on trails that have been thoughtfully and specifically designated as non motorized raises questions of safety and trail sustainability that must be considered.	But this announcement disregards well established policies for how visitors can enjoyably and safely experience the backcountry in national parks said Kristen Brengel senior vice president at the National Parks Conservation Association.	The change has drawn criticism by park advocates and some trail enthusiasts who say the administration did not do enough to seek public input on a policy that could damagethe park experience for many.	Park Service officials notethe policy is modeled after a number of states that already allow expanded use of electric bikes.	The motor may not be used to propel an e bike without the rider also pedaling except in locations open to public motor vehicle traffic under the policy.	False
The environmental Left rushed to publicize the incident as an I told you so moment but activists gloating reveals either their cynical dishonesty or their ignorance about how modern pipelines work.	Such biased narratives have bedeviled the Dakota Access Pipeline from the beginning.	The spill occurred in an Energy Transfer Partners facility specifically equipped to catch spills.	And a Clean Technica reporter claimed the incident drives home an essential truth about all the systems mankind has devised to transport oil from place to placeaddingThey all leak.	Writing in the Guardian opinionist Julian Brave NoiseCat said that the leak demonstrates the risk of technological and human failure inherent in crude oil pipelines adding that indigenous communities ranchers and workers are forced to live under the constant threat of petroleum poisoning.	False
Its time that we own our mistakes and get real about our shortcomings.	Or we could let implicit bias and systemic racism undercut any chance we have at a sustainable future.	When they dont have a seat at the table how can the movement be ready to systematically tackle issues that affect them uniquely?	The time has come for radical thinking for inclusive problem solving for crowd sourced innovation.	Its urgent that we bring more voices into the conversation.	True
Civic leaders mayors governors CEOs investors and the majority of the business community will take up this challenge Gore said.	But make no mistake if President Trump wont lead the American people will.	Gore who has made two documentaries advocating climate change action said in a statement Removing the United States from the Paris Agreement is a reckless and indefensible action.	Former Vice President Al Gore blasted the decision of President Donald Trump to remove the U.S. from the Paris Climate Agreement on Thursday calling it reckless and indefensible.	Participating in the deal the president argued puts us at a permanent disadvantage.	False
Democrats and environmentalists claimed the storm was made worse by man made global warming.	Democrats and environmentalists claimed the storm was made worse by man made global warming.	Florence dumped 11 trillion gallons of rain over the Carolinas causing devastating floods and taking more than 50 lives.	Florence dumped 11 trillion gallons of rain over the Carolinas causing devastating floods and taking more than 50 lives.	RELATED Al Gore Wades Into A Bitter Battle Over The Fate Of Fracking In Colorado However not all scientists agreed.	True
She submitted the United Nations IPCC Special Report on Global Warming as her written testimony writing I am submitting this report as my testimony because I dont want you to listen to me I want you to listen to the scientists.	he added Our planet is in crisisbut we arent powerless to combat it Sen. Cory Booker D NJ declared.	To the millions of young people and allies worldwide who are striking today to demand climate justice I stand with you.	The youth led and the solidarity strikes from groups like show that our country is ready to fight for the big structural change well need to tackle the climate crisis Sen. Elizabeth Warren D MA tweeted Young people have already demonstrated they can take on powerful fossil fuel companies and force politicians to answer their call to action Sen. Bernie Sanders I VT wrote.	There is nothing more powerful than our nations youth marching together demanding action be taken to protect our planet and their future Sen. Kamala Harris D CA wrote.	True
Economic costs associated with such disasters are mounting.	We face a direct existential threat.	I am appealing for leadership from politicians from businesses and scientists and from the public everywhere U.N. Secretary General Antnio Guterres said when he announced the summit.	China and the U.S. are the top greenhouse gas emitters in the world and their cooperation was the crucial foundation for the Paris Agreement.	Currently global emissions are on track to cause potentially catastrophic climate change in the coming decades.	True
All three are equally important to human wellbeing.	This is fuelling climate change and compromising our attempts to feed a growing world population the authors will say.	Brexit could give the UK greater flexibility on how to spend public money on farming enabling much more leeway to reward farmers for capturing carbon in the earth.	Soil expert Prof Jane Rickson from Cranfield University UK added The thin layer of soil covering the Earth's surface represents the difference between survival and extinction for most terrestrial life.	The body which is meeting this week aims to get all the worlds governments singing from the same sheet about the need to protect natural systems.	True
